Rank	Company	Revenues	Revenue Percentage Change	Profits	Assets	Profits Percentage Change	Employees	Rank Change	Fortune Url	Country	Sector	Industry	CEO	HQ Location	Company Website
1	Walmart	"$514,405.00 "	2.80%	"$6,670.00 "	"$219,295.00 "	-32.40%	"2,200,000"	-	https://fortune.com/global500/2019/walmart	U.S.	Retailing	General Merchandisers	C. Douglas McMillon	"Bentonville, Ark."	https://www.walmart.com
2	Sinopec Group	"$414,649.90 "	26.80%	"$5,845.00 "	"$329,186.30 "	280.10%	"619,151"	1	https://fortune.com/global500/2019/sinopec-group	China	Energy	Petroleum Refining	Dai Houliang	Beijing	https://www.sinopec.com
3	Royal Dutch Shell	"$396,556.00 "	27.20%	"$23,352.00 "	"$399,194.00 "	79.90%	"81,000"	2	https://fortune.com/global500/2019/royal-dutch-shell	Netherlands	Energy	Petroleum Refining	Ben van Beurden	The Hague	https://www.shell.com
4	China National Petroleum	"$392,976.60 "	20.50%	"$2,270.50 "	"$601,899.90 "	-	"1,382,401"	-	https://fortune.com/global500/2019/china-national-petroleum	China	Energy	Petroleum Refining	Zhang Wei	Beijing	https://www.cnpc.com.cn
5	State Grid	"$387,056.00 "	10.90%	"$8,174.80 "	"$572,309.50 "	-14.30%	"917,717"	-3	https://fortune.com/global500/2019/state-grid	China	Energy	Utilities	Xin Baoan	Beijing	https://www.sgcc.com.cn
6	Saudi Aramco	"$355,905.00 "	35.30%	"$110,974.50 "	"$358,872.90 "	46.90%	"76,418"	-	https://fortune.com/global500/2019/saudi-aramco	Saudi Arabia	Energy	"Mining, Crude-Oil Production"	Amin H. Nasser	"Dhahran, Saudi Arabia"	https://www.saudiaramco.com
7	BP	"$303,738.00 "	24.20%	"$9,383.00 "	"$282,176.00 "	176.90%	"73,000"	1	https://fortune.com/global500/2019/bp	Britain	Energy	Petroleum Refining	Robert W. Dudley	London	https://www.bp.com
8	Exxon Mobil	"$290,212.00 "	18.80%	"$20,840.00 "	"$346,196.00 "	5.70%	"71,000"	1	https://fortune.com/global500/2019/exxon-mobil	U.S.	Energy	Petroleum Refining	Darren W. Woods	"Irving, Texas"	https://www.exxonmobil.com
9	Volkswagen	"$278,341.50 "	7%	"$14,322.50 "	"$523,672.30 "	9.30%	"664,496"	-2	https://fortune.com/global500/2019/volkswagen	Germany	Motor Vehicles & Parts	Motor Vehicles and Parts	Herbert Diess	"Wolfsburg, Germany"	https://www.volkswagenag.com
10	Toyota Motor	"$272,612.00 "	2.80%	"$16,982.00 "	"$469,295.60 "	-24.60%	"370,870"	-4	https://fortune.com/global500/2019/toyota-motor	Japan	Motor Vehicles & Parts	Motor Vehicles and Parts	Akio Toyoda	"Toyota, Japan"	https://www.toyota-global.com
11	Apple	"$265,595.00 "	15.90%	"$59,531.00 "	"$365,725.00 "	23.10%	"132,000"	-	https://fortune.com/global500/2019/apple	U.S.	Technology	"Computers, Office Equipment"	Timothy D. Cook	"Cupertino, Calif."	https://www.apple.com
12	Berkshire Hathaway	"$247,837.00 "	2.40%	"$4,021.00 "	"$707,794.00 "	-91.10%	"389,000"	-2	https://fortune.com/global500/2019/berkshire-hathaway	U.S.	Financials	Insurance: Property and Casualty (Stock)	Warren E. Buffett	Omaha	https://www.berkshirehathaway.com
13	Amazon.com	"$232,887.00 "	30.90%	"$10,073.00 "	"$162,648.00 "	232.10%	"647,500"	5	https://fortune.com/global500/2019/amazon-com	U.S.	Retailing	Internet Services and Retailing	Jeffrey P. Bezos	Seattle	https://www.amazon.com
14	UnitedHealth Group	"$226,247.00 "	12.50%	"$11,986.00 "	"$152,221.00 "	13.50%	"300,000"	1	https://fortune.com/global500/2019/unitedhealth-group	U.S.	Health Care	Health Care: Insurance and Managed Care	David S. Wichmann	"Minnetonka, Minn."	https://www.unitedhealthgroup.com
15	Samsung Electronics	"$221,579.40 "	4.50%	"$39,895.20 "	"$304,165.30 "	9.10%	"309,630"	-3	https://fortune.com/global500/2019/samsung-electronics	South Korea	Technology	"Electronics, Electrical Equip."	Hyun-Suk Kim /Ki-Nam Kim	"Suwon, South Korea"	https://www.samsung.com
16	Glencore	"$219,754.00 "	6.90%	"$3,408.00 "	"$128,672.00 "	-41%	"85,504"	-2	https://fortune.com/global500/2019/glencore	Switzerland	Energy	"Mining, Crude-Oil Production"	Ivan Glasenberg	"Baar, Switzerland"	https://www.glencore.com
17	McKesson	"$214,319.00 "	2.90%	$34 	"$59,672.00 "	-49.30%	"70,000"	-4	https://fortune.com/global500/2019/mckesson	U.S.	Health Care	Wholesalers: Health Care	Brian S. Tyler	"Irving, Texas"	https://www.mckesson.com
18	Daimler	"$197,515.30 "	6.60%	"$8,555.00 "	"$321,890.50 "	-27.90%	"298,683"	-2	https://fortune.com/global500/2019/daimler	Germany	Motor Vehicles & Parts	Motor Vehicles and Parts	Ola K盲llenius	"Stuttgart, Germany"	https://www.daimler.com
19	CVS Health	"$194,579.00 "	5.30%	($594)	"$196,456.00 "	-109%	"295,000"	-2	https://fortune.com/global500/2019/cvs-health	U.S.	Health Care	Health Care: Pharmacy and Other Services	Larry J. Merlo	"Woonsocket, R.I."	https://www.cvshealth.com
20	Total	"$184,106.00 "	23.50%	"$11,446.00 "	"$256,762.00 "	32.60%	"104,460"	8	https://fortune.com/global500/2019/total	France	Energy	Petroleum Refining	Patrick Pouyann茅	"Courbevoie, France"	https://www.total.com
21	China State Construction Engineering	"$181,524.50 "	16.30%	"$3,159.50 "	"$272,768.80 "	18.10%	"302,827"	2	https://fortune.com/global500/2019/china-state-construction-engineering	China	Engineering & Construction	"Engineering, Construction"	Guan Qing	Beijing	https://www.cscec.com
22	Trafigura Group	"$180,744.10 "	32.50%	$849.20 	"$53,801.00 "	0.20%	"4,316"	10	https://fortune.com/global500/2019/trafigura-group	Singapore	Wholesalers	Trading	Jeremy Weir	Singapore	https://www.trafigura.com
23	Hon Hai Precision Industry	"$175,617.00 "	13.50%	"$4,281.60 "	"$110,012.90 "	-6.10%	"667,680"	1	https://fortune.com/global500/2019/hon-hai-precision-industry	Taiwan	Technology	"Electronics, Electrical Equip."	Terry Gou	"New Taipei City, Taiwan"	https://www.foxconn.com
24	EXOR Group	"$175,009.50 "	8.20%	"$1,589.70 "	"$190,052.30 "	1.30%	"314,790"	-5	https://fortune.com/global500/2019/exor-group	Netherlands	Financials	Diversified Financials	John Elkann	Amsterdam	https://www.exor.com
25	AT&T	"$170,756.00 "	6.40%	"$19,370.00 "	"$531,864.00 "	-34.20%	"268,220"	-5	https://fortune.com/global500/2019/att	U.S.	Telecommunications	Telecommunications	Randall L. Stephenson	Dallas	https://www.att.com
26	Industrial & Commercial Bank of China	"$168,979.00 "	10.40%	"$45,002.30 "	"$4,034,481.60 "	6.30%	"449,296"	-	https://fortune.com/global500/2019/industrial-commercial-bank-of-china	China	Financials	Banks: Commercial and Savings	Gu Shu	Beijing	https://www.icbc-ltd.com
